"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"298","Author","Xin, Ruyue","WROTE_A_PAPER_WITH","299","Author","Zhao, Jiale"
"300","Author","Moran, Kevin","WROTE_A_PAPER_WITH","301","Author","Wallace, Kyle"
"302","Author","Alhussein, Musaed","WROTE_A_PAPER_WITH","303","Author","Anwar, Muhammad Shahid"
"304","Author","Keally, Matthew","WROTE_A_PAPER_WITH","305","Author","Thompson, Robert"
"306","Author","Wang, Peng","WROTE_A_PAPER_WITH","307","Author","Xu, Liyuan"
"308","Author","Deepak, B.","WROTE_A_PAPER_WITH","309","Author","Gao, Xiao-Zhi"
"310","Author","Niu, Xiaxia","WROTE_A_PAPER_WITH","311","Author","Zhao, Shengli"
"312","Author","Zhang, Songnian","WROTE_A_PAPER_WITH","313","Author","Zhao, Yi"
"314","Author","Latif, Sohaib","WROTE_A_PAPER_WITH","315","Author","Núñez, Rafaél Artidoro Sandoval"
"316","Author","Liu, Yang-Yang","WROTE_A_PAPER_WITH","317","Author","Zhang, Ying"
"318","Author","Liu, Lina","WROTE_A_PAPER_WITH","319","Author","Wornell, Gregory W."
"320","Author","Chen, Bo","WROTE_A_PAPER_WITH","321","Author","Liu, Liang"
"322","Author","Qi, Xin","WROTE_A_PAPER_WITH","323","Author","Su, Yuwei"
"324","Author","Jia, Yanchao","WROTE_A_PAPER_WITH","325","Author","Liu, Feng"
"326","Author","Ni, Kejie","WROTE_A_PAPER_WITH","327","Author","Shi, Jiajun"
"328","Author","Hadian, Mohammad","WROTE_A_PAPER_WITH","329","Author","Liang, Xiaohui"
"330","Author","Wang, Zhongfeng","WROTE_A_PAPER_WITH","331","Author","Zeng, Peng"
"332","Author","Gui, Guan","WROTE_A_PAPER_WITH","333","Author","Liu, Ren Ping"
"334","Author","Chen, Yinong","WROTE_A_PAPER_WITH","335","Author","Yang, Qi"
"336","Author","Liu, Kang","WROTE_A_PAPER_WITH","337","Author","Zheng, Zibin"
"338","Author","Nie, Laisen","WROTE_A_PAPER_WITH","339","Author","Zhang, Ruonan"
"340","Author","Panda, Sanjaya Kumar","WROTE_A_PAPER_WITH","341","Author","Sahoo, Kshira Sagar"
"342","Author","Hang, Yanwen","WROTE_A_PAPER_WITH","343","Author","Zhang, Peng"
"344","Author","Mathur, Phalguni","WROTE_A_PAPER_WITH","345","Author","Raman, Sujith"
"346","Author","Ganchev, Ivan","WROTE_A_PAPER_WITH","347","Author","Ji, Zhanlin"
"348","Author","Du, Qing","WROTE_A_PAPER_WITH","349","Author","Zhang, Yaling"
"350","Author","Hou, Changbo","WROTE_A_PAPER_WITH","351","Author","Liu, Min"
"352","Author","Wang, Jianjia","WROTE_A_PAPER_WITH","253","Author","Yang, Yang"
"353","Author","Moustafa, Nour","WROTE_A_PAPER_WITH","354","Author","Tari, Zahir"
"355","Author","Zhao, QingLin","WROTE_A_PAPER_WITH","356","Author","Zhou, MengChu"
"357","Author","Ling, Zhen","WROTE_A_PAPER_WITH","358","Author","Wu, Kui"
"359","Author","Baskar, S.","WROTE_A_PAPER_WITH","360","Author","Nam, Yunyoung"
"361","Author","Lv, Zhihan","WROTE_A_PAPER_WITH","362","Author","Skonieczny, Lukasz"
"363","Author","Liu, Weijiang","WROTE_A_PAPER_WITH","364","Author","Lyu, Haoze"
"365","Author","Chen, Yawen","WROTE_A_PAPER_WITH","366","Author","Huang, Guixun"
"367","Author","Lee, Yu-Qi","WROTE_A_PAPER_WITH","368","Author","Zheng, Weimin"
"369","Author","Cui, Jianqun","WROTE_A_PAPER_WITH","370","Author","Zhao, Zhuo"
