"~id","~start_node_id","~end_node_id","~relationship_type"
"362","712","713","WROTE_A_PAPER_WITH"
"363","714","715","WROTE_A_PAPER_WITH"
"364","716","717","WROTE_A_PAPER_WITH"
"365","718","719","WROTE_A_PAPER_WITH"
"366","720","721","WROTE_A_PAPER_WITH"
"367","722","723","WROTE_A_PAPER_WITH"
"368","724","725","WROTE_A_PAPER_WITH"
"369","726","727","WROTE_A_PAPER_WITH"
"370","728","729","WROTE_A_PAPER_WITH"
"371","730","731","WROTE_A_PAPER_WITH"
"372","732","733","WROTE_A_PAPER_WITH"
"373","734","735","WROTE_A_PAPER_WITH"
"374","736","737","WROTE_A_PAPER_WITH"
"375","273","738","WROTE_A_PAPER_WITH"
"376","739","740","WROTE_A_PAPER_WITH"
"377","741","742","WROTE_A_PAPER_WITH"
"378","743","727","WROTE_A_PAPER_WITH"
"379","744","745","WROTE_A_PAPER_WITH"
"380","746","747","WROTE_A_PAPER_WITH"
"381","748","749","WROTE_A_PAPER_WITH"
"382","750","751","WROTE_A_PAPER_WITH"
"383","752","753","WROTE_A_PAPER_WITH"
"384","754","755","WROTE_A_PAPER_WITH"
"385","756","757","WROTE_A_PAPER_WITH"
"386","758","759","WROTE_A_PAPER_WITH"
"387","760","761","WROTE_A_PAPER_WITH"
"388","762","763","WROTE_A_PAPER_WITH"
"389","764","765","WROTE_A_PAPER_WITH"
"390","766","767","WROTE_A_PAPER_WITH"
"391","768","769","WROTE_A_PAPER_WITH"
"392","770","771","WROTE_A_PAPER_WITH"
"393","772","773","WROTE_A_PAPER_WITH"
"394","774","775","WROTE_A_PAPER_WITH"
"395","776","777","WROTE_A_PAPER_WITH"
"396","778","779","WROTE_A_PAPER_WITH"
"397","780","781","WROTE_A_PAPER_WITH"
"398","782","783","WROTE_A_PAPER_WITH"
"399","784","785","WROTE_A_PAPER_WITH"
"400","786","787","WROTE_A_PAPER_WITH"
"401","788","789","WROTE_A_PAPER_WITH"
"402","790","791","WROTE_A_PAPER_WITH"
"403","792","793","WROTE_A_PAPER_WITH"
"404","794","795","WROTE_A_PAPER_WITH"
"405","796","797","WROTE_A_PAPER_WITH"
"406","798","799","WROTE_A_PAPER_WITH"
"407","800","801","WROTE_A_PAPER_WITH"
"408","802","803","WROTE_A_PAPER_WITH"
"409","804","805","WROTE_A_PAPER_WITH"
"410","806","807","WROTE_A_PAPER_WITH"
"411","808","809","WROTE_A_PAPER_WITH"
"412","810","811","WROTE_A_PAPER_WITH"
"413","812","813","WROTE_A_PAPER_WITH"
"414","814","815","WROTE_A_PAPER_WITH"
"415","816","817","WROTE_A_PAPER_WITH"
"416","818","616","WROTE_A_PAPER_WITH"
"417","819","820","WROTE_A_PAPER_WITH"
"418","821","822","WROTE_A_PAPER_WITH"
"419","823","824","WROTE_A_PAPER_WITH"
"420","825","826","WROTE_A_PAPER_WITH"
"421","827","828","WROTE_A_PAPER_WITH"
"422","829","830","WROTE_A_PAPER_WITH"
"423","831","832","WROTE_A_PAPER_WITH"
"424","833","834","WROTE_A_PAPER_WITH"
"425","835","836","WROTE_A_PAPER_WITH"
"426","837","838","WROTE_A_PAPER_WITH"
"427","839","840","WROTE_A_PAPER_WITH"
"428","841","842","WROTE_A_PAPER_WITH"
"429","843","844","WROTE_A_PAPER_WITH"
"430","845","846","WROTE_A_PAPER_WITH"
"431","847","848","WROTE_A_PAPER_WITH"
"432","849","850","WROTE_A_PAPER_WITH"
"433","851","852","WROTE_A_PAPER_WITH"
